"Model","Y_feature","Site_Effect","Complexity","BIC","AIC"
"m1a","Surface Area cm2","none","linear",4978.14019176916,4964.87045087856
"m1b","Surface Area cm2","none","smooth_mean",4810.98635779957,4778.96946885901
"m1c","Surface Area cm2","none","smooth_mean_var",4578.00424796831,4534.1882579989
"m1d","Surface Area cm2","none","shash_constant",4570.38083909113,4517.69080644697
"m1e","Surface Area cm2","none","shash_full",4587.37833992667,4508.4763170959
"m2a","Surface Area cm2","fixed","linear",4946.93337641955,4929.24038856542
"m2b","Surface Area cm2","fixed","smooth_mean",4796.5317111586,4760.49398990267
"m2c","Surface Area cm2","fixed","smooth_mean_var",4507.85582621852,4458.42874627198
"m2d","Surface Area cm2","fixed","shash_constant",4517.49680999438,4459.80376259159
"m2e","Surface Area cm2","fixed","shash_full",4546.16587544866,4455.91121953307
"m3a","Surface Area cm2","random","linear",4946.79212737318,4929.21461687964
"m3b","Surface Area cm2","random","smooth_mean",4796.2854889524,4760.4341719974
"m3c","Surface Area cm2","random","smooth_mean_var",4506.97500140183,4458.29928693083
"m3d","Surface Area cm2","random","shash_constant",4517.20942313601,4459.73683982628
"m3e","Surface Area cm2","random","shash_full",4533.11624738341,4452.05495435248
"m1a","Folding Power","none","linear",7684.23494040283,7670.96519951223
"m1b","Folding Power","none","smooth_mean",7047.55514630344,7009.89071586282
"m1c","Folding Power","none","smooth_mean_var",6635.34789521457,6575.49351253145
"m1d","Folding Power","none","shash_constant",6545.76504176889,6479.09540590844
"m1e","Folding Power","none","shash_full",6542.25007412641,6456.82949963969
"m2a","Folding Power","fixed","linear",7687.99777740236,7670.30478954823
"m2b","Folding Power","fixed","smooth_mean",7039.2751873191,6996.82542039843
"m2c","Folding Power","fixed","smooth_mean_var",6491.93737777838,6426.24273726011
"m2d","Folding Power","fixed","shash_constant",6470.61281340919,6396.49811574409
"m2e","Folding Power","fixed","shash_full",6550.76128096233,6435.67885137425
"m3a","Folding Power","random","linear",7685.88031647755,7669.9298580469
"m3b","Folding Power","random","smooth_mean",7038.90860437461,6996.77494575679
"m3c","Folding Power","random","smooth_mean_var",6491.792410059,6426.20949496606
"m3d","Folding Power","random","shash_constant",6470.28996606052,6396.42974461149
"m3e","Folding Power","random","shash_full",6537.00721890545,6436.02249971518
"m1a","B4 Vertex Percentage","none","linear",2919.16682215799,2905.89708126739
"m1b","B4 Vertex Percentage","none","smooth_mean",2366.29607978438,2327.75433571218
"m1c","B4 Vertex Percentage","none","smooth_mean_var",2367.33329272502,2314.13177948798
"m1d","B4 Vertex Percentage","none","shash_constant",2371.7336714911,2309.9261010764
"m1e","B4 Vertex Percentage","none","shash_full",2377.81619112121,2298.02478264069
"m2a","B4 Vertex Percentage","fixed","linear",2920.71117376736,2903.01818591323
"m2b","B4 Vertex Percentage","fixed","smooth_mean",2286.74066878528,2242.95284539664
"m2c","B4 Vertex Percentage","fixed","smooth_mean_var",2292.74747711106,2235.25042475755
"m2d","B4 Vertex Percentage","fixed","shash_constant",2297.98245064952,2232.28962223387
"m2e","B4 Vertex Percentage","fixed","shash_full",2324.17887264975,2233.0311485689
"m3a","B4 Vertex Percentage","random","linear",2919.59972555763,2902.81378308172
"m3b","B4 Vertex Percentage","random","smooth_mean",2286.69750340512,2242.94664108917
"m3c","B4 Vertex Percentage","random","smooth_mean_var",2291.08279976187,2234.80057751855
"m3d","B4 Vertex Percentage","random","shash_constant",2296.62189013582,2231.90165819536
"m3e","B4 Vertex Percentage","random","shash_full",2310.17392715536,2228.85504695906
"m1a","B5 Vertex Percentage","none","linear",2050.1868180184,2036.9170771278
"m1b","B5 Vertex Percentage","none","smooth_mean",2048.33595691262,2014.6727997127
"m1c","B5 Vertex Percentage","none","smooth_mean_var",2057.80052663138,2010.50309339109
"m1d","B5 Vertex Percentage","none","shash_constant",2069.55374881477,2013.40661590458
"m1e","B5 Vertex Percentage","none","shash_full",2081.28222299921,2014.70741052071
"m2a","B5 Vertex Percentage","fixed","linear",2052.01091944913,2034.31793159499
"m2b","B5 Vertex Percentage","fixed","smooth_mean",2052.50085118639,2014.62064602504
"m2c","B5 Vertex Percentage","fixed","smooth_mean_var",2068.09613653723,2012.30378162317
"m2d","B5 Vertex Percentage","fixed","shash_constant",2079.64059373859,2015.12902376882
"m2e","B5 Vertex Percentage","fixed","shash_full",2104.05410137302,2018.60479526026
"m3a","B5 Vertex Percentage","random","linear",2050.82996683481,2034.10103591458
