"Family","BIC","AIC"
"ZIBNB",2864.39200922439,2841.92921198981
"LNO",2856.43187298276,2837.19709764731
"NOF",2963.56427825659,2928.31856173214
"BCPE",2885.37015972026,2843.60947881879
"NET",2927.16304148871,2893.43754046093
"BNB",2858.64900603658,2839.92921198981
"BCT",2885.40270244886,2843.73685604478
"GB2",2869.93691005262,2845.27191119264
"GG",2861.41356874011,2839.20741617799
"GT",2932.05150615172,2892.11531555805
"JSU",2889.06972160616,2847.83562587832
"SEP1",2893.79885252671,2852.76055823117
"SEP2",2901.63581559428,2858.52419491384
"SEP3",2902.00736993369,2850.76007454196
"SHASH",2893.9926358847,2852.01360569511
"SHASHo",2894.1807736308,2852.43893354316
"ST1",2894.60877085848,2853.99108544515
"ST2",2889.01796440867,2848.99424406375
"ST3",2948.55355983606,2917.70290532805
"ST4",2905.84250831749,2864.46132201234
"ST5",2892.5201051691,2852.64596242569
"TF",2930.98940384008,2893.24965191069
"PE",2941.81447027621,2901.59100106066
"PE2",2942.29238074277,2901.52197875356
