"Model","Y_feature","Site_Effect","Complexity","BIC","AIC","LogScore","LogScore_Censored","W_statistic","Skewness","Kurtosis","Mean_Z","SD_Z","norm_BIC","norm_AIC","norm_LogScore","norm_W","norm_Skew","norm_Kurt","norm_MeanZ","norm_SDZ","composite_score"
"m2e","B4 Band Power","fixed","shash_full",5182.06788744318,5077.55943941692,-4.22545529516184,-4.04362885964703,0.98363333012267,0.302038820210286,1.23266003624069,0.0852756470356418,1.0523778232919,0.923144980827428,0.991041783696456,0.958442046955118,1,0.958434475799018,1,0.590270586873102,0.666583318434733,0.919371825362773
"m2d","B4 Band Relative Power","fixed","shash_constant",-2330.55290344752,-2404.10576631196,1.48228481621521,1.31416109839256,0.983997534261589,0.442995431819041,1.35618455658766,-0.018454865838628,1.65520674955871,0.999743884828905,0.962037147935752,0.888702286464537,0.820563508276917,0.557282697422743,0.788910528290419,0.620318022622969,0.0649557386841141,0.774033311135549
"m1c","B4 Surface Area","none","smooth_mean_var",8692.58370071418,8642.13078593073,-6.97348012597713,-6.81913352843198,0.995299556601112,-0.156663541485793,0.525082168278192,0.0266312310706303,1.00242659627813,0.707907767793922,0.710341070600099,0.78460136034439,1,0.794845318307186,0.489703298784478,0.541236125992546,0.953272238408566,0.774683533337226
"m3c","B4 Surface Area Percentage","random","smooth_mean_var",2273.12634628839,2212.55049706228,-1.81366816171923,-1.79265023112638,0.99690855136068,-0.0116896246478178,-0.248703699815692,0.0800406602507053,1.04830239815362,0.991256854350061,0.980076297220613,0.979313323024517,1,0.98417673886131,0.515279366817815,0.0867694309016326,0.463913509444487,0.833805653573345
"m3c","B4 Vertex Percentage","random","smooth_mean_var",2297.69636901392,2236.83343001477,-1.85291084227005,-1.83531857628771,0.99610879469922,-0.0581510221173405,-0.360125868616414,0.0775019235205858,1.06727162703308,0.992454537010136,0.978995816520052,0.980616900018645,0.98205373656301,0.986152170702633,0.371423797019543,0.121570612290345,0.392802092908857,0.813637439182014
"m3d","B5 Band Power","random","shash_constant",5522.68396779483,5443.79641403621,-4.39000236024822,-4.31720703122857,0.989642280547702,0.26279308746992,0.227093014383359,-0.0100715221548331,1.02964127160764,0.993556392058117,0.961880079618429,0.977181169320395,0.998687050200359,0.923609831720616,0.964807427114234,0.88185667073278,0.70736027244981,0.948428107296891
"m2d","B5 Band Relative Power","fixed","shash_constant",-2423.30572452522,-2494.20742493955,1.7317774840397,1.58503374389399,0.993608779813221,-0.127739946024228,0.320887278529734,-0.0174586802399588,1.55946028748676,0.873257125898045,0.843106199500928,0.991449771334818,1,0.958126755702227,1,0.772212823720267,0.259843463272123,0.886806040196415
"m3d","B5 Surface Area","random","shash_constant",8850.23327467476,8794.8764288305,-7.09017016064498,-6.98359962482063,0.996175415355944,-0.0266011753388349,0.20121574985829,-0.0779554481017836,0.994057261551506,1,0.933507366379414,0.90130948863233,1,0.992837758699572,0.999995965011816,0.26423873333232,0.916556731213708,0.911455666576498
"m3c","B5 Surface Area Percentage","random","smooth_mean_var",2145.62680104182,2106.05003469976,-1.7745503142695,-1.70506937211164,0.990506351349426,-0.283316261268056,0.823713498858617,-0.0942049508865205,1.07955240763809,0.871299931383465,0.90887996930286,0.99615013456015,0.989011796363513,0.919883317212575,0.98671718148794,0.261977416125885,0.67644397818791,0.879657027266125
"m3c","B5 Vertex Percentage","random","smooth_mean_var",2047.37812335589,2003.536238797,-1.69052659866299,-1.62926785163879,0.993427285260733,-0.168325867446698,0.566009927577044,-0.100832745749096,1.07628531060597,0.728029671703182,0.862692140610862,1,0.969619247100754,0.894714929029003,1,0.152430457129977,0.54187636836784,0.830942019051951
"m2d","B6 Band Power","fixed","shash_constant",4377.7451716938,4300.95817684561,-3.61715821847935,-3.40856004653182,0.951997403332421,0.55851575288945,3.66613866034769,0.0564927018884509,1.15760676820173,0.99659392768076,0.973172006939736,0.991883893799293,0.896218666570079,0.868197684427618,0.826028650814366,0.314893219326601,0.452137675622484,0.851376752565342
"m2b","B6 Band Relative Power","fixed","smooth_mean",-2869.96335892897,-2909.98325878183,0.84514861232518,1.66987005881301,0.939829338910361,0.996379367767918,1.87947372467267,0.0707960879449964,1.85769239304561,0.575185760862117,0.547986688763055,1,0.94947599747729,0.951545072941421,0.978097270929327,0.884473277111276,0.813442761558341,0.851279669788377
"m2e","B6 Surface Area","fixed","shash_full",8381.34604121909,8286.58665625168,-6.69061591000468,-6.58219259438673,0.994936097524761,-0.11723602608717,-0.30073535796479,-0.0175689639552459,0.997454598032244,0.985446058813012,0.999047251837153,0.97881127804586,0.940575306888938,0.845767140582172,0.6664219543298,0.75463175090583,0.970557345652773,0.912207042725719
"m2d","B6 Surface Area Percentage","fixed","shash_constant",2000.87207578338,1922.51047782527,-1.67124842236558,-1.56813283088208,0.957132530922263,-0.773743420273495,2.52925389632434,0.0344576287076026,1.11339133749012,0.939355894989211,0.933354246489876,0.966601804173472,0.89156515806231,0.904516316057986,0.936866577910741,0.222402461184666,0.775475420316084,0.864851331853955
"m2d","B6 Vertex Percentage","fixed","shash_constant",1656.74628656046,1579.20517953154,-1.31364014068431,-1.27162836821012,0.985958727101351,-0.298565835532478,1.01828741392323,0.0599916130665021,1.04017869487329,0.963949823784439,0.934514502324403,1,1,1,0.987604992532108,0.00948818733646317,0.919272041655131,0.906461440227687
"m3c","Band Parcels B5","random","smooth_mean_var",10311.8987816382,10259.9204300311,-8.44197873300637,-8.0580825292225,0.99267399933412,0.0613745587653683,0.742190328299954,-0.0608776372235422,1.12487079524521,0.999869221511252,0.888557994832159,0.995654256939648,1,0.991615816203151,0.947637328501183,0.257495219589915,0.669906479184807,0.901447475976371
"m2d","Band Parcels B6","fixed","shash_constant",10052.5840419096,9980.24926114344,-8.18260508274225,-7.86448743408813,0.995219979982749,0.0564949668819271,0.384629877797516,0.0376643989171255,1.09127702031692,0.999284284355235,1,1,1,0.992921870071785,1,0.93810289036098,0.838526761543566,0.982432053553305
"m1c","Band_parcels B4","none","smooth_mean_var",10316.0236209224,10248.1042903696,-8.35226006948786,-8.1438306173295,0.997965159026327,0.0277922151762534,0.104870695271215,0.10202976474837,1.06553407620743,0.689342990648187,0.706012161717696,0.752583310661503,1,1,0.936040096976141,0.162363771376683,0.391800775552374,0.759685677618592
"m2e","Folding Power","fixed","shash_full",6489.5284189436,6384.19089505941,-5.16700048439293,-5.03680832787823,0.995081485447428,0.120423710930008,0.0818200642289676,0.0624126709950553,1.04416082983333,0.98008972310994,0.996732005235209,1,1,1,1,0.477697875636512,0.782098611786753,0.941171395546757
"m2b","Gyrification Index","fixed","smooth_mean",-2361.60045388146,-2401.83060159046,1.68805458394375,1.73777482484868,0.942352757781443,0.14907688350506,2.99408798904848,0.111593597231452,1.49893488900769,0.513216049948694,0.499178472709984,1,0.952993260314435,0.997773998436743,0.949469482439356,0.83573915734329,0.871399531395774,0.840258656569229
"m3d","Hemispheric Volume","random","shash_constant",3850.10738276532,3794.6413356909,-3.00950763760442,-2.9679453511527,0.995943510075736,-0.0674585022833433,-0.026948555967983,-0.0228313446150045,0.975373935330155,1,0.996149680444521,0.959089991966855,1,0.867423173484367,0.98429068438862,0.472831663628427,0.591457787438356,0.90642606105513
"m2d","Hull Area","fixed","shash_constant",9812.15755158072,9759.69898521176,-7.8330880429318,-7.71893254155249,0.995415856067028,0.130506490859738,-0.100881653987005,-0.0368801248961754,0.943273727307936,0.921622247756218,0.981041666810853,0.933714249199979,0.942556124287038,0.5843174880291,0.985027562390529,0.270623086692305,0.326125369223342,0.813292217777558
"m2c","Surface Area cm2","fixed","smooth_mean_var",4532.84054987642,4484.76609117778,-3.54221296876204,-3.50532653169169,0.991639881558469,0.233132180972601,-0.0658569826932632,-0.0171460840320032,0.933508893446386,0.996782413925547,0.9728724132847,1,0.921434997741132,0.645980124151746,0.969474193116594,0.759320713625122,0.480989670043102,0.885660313467479
