"Model","Y_feature","Site_Effect","Complexity","BIC","AIC","LogScore","LogScore_Censored","W_statistic","Skewness","Kurtosis","Mean_Z","SD_Z","norm_BIC","norm_AIC","norm_LogScore","norm_W","norm_Skew","norm_Kurt","norm_MeanZ","norm_SDZ","composite_score"
"m1a","Surface Area cm2","none","linear",4972.73484999319,4959.46510910259,-3.98845540833579,-3.92759009805988,0.984443770200446,0.420483393888033,0.0138190023336454,0.0638302580369096,0.967764899843314,0,0,0,0.475751492027281,0.217629276297053,0.996509222227634,0.104015766820376,0.748382139571929,0.280493991237348
"m1b","Surface Area cm2","none","smooth_mean",4839.76947858177,4806.54439023718,-3.77705658255098,-3.72445006262163,0.978572344250747,0.209920887492469,1.23217962619161,0.0165057164839669,0.883219990094913,0.301294069618097,0.313403531893106,0.473730884912571,0.112110968609862,0.699049314830038,0.363540480817648,0.768309541872512,0.0884490480792794,0.364218708147665
"m1c","Surface Area cm2","none","smooth_mean_var",4592.59231923948,4550.7664487027,-3.61145230493869,-3.54424902361551,0.981838126842903,-0.183767091216584,1.93193520341012,-0.025187523744015,0.957003346422041,0.861387359053897,0.837607909507919,0.84483919493901,0.314373741120827,0.758846103092365,0,0.646443162826865,0.664380568812687,0.619007872203047
"m1d","Surface Area cm2","none","shash_constant",4579.83265149292,4529.66190737261,-3.60936835504353,-3.5613639315735,0.990576437445939,0.11091923530612,0.00709982979596996,-0.0305245188026479,0.972692403854797,0.890300242021289,0.880860634455256,0.849509189790129,0.855571717335568,0.925401954842996,1,0.5715278550691,0.786844809475037,0.857065426498968
"m1e","Surface Area cm2","none","shash_full",4597.85289675459,4524.93000750083,-3.60044798638976,-3.55542429265129,0.992908410678012,0.0782916957289696,-0.118350631686481,-0.0357115171390131,0.976366785474642,0.849467106500578,0.890558431741223,0.86949915009576,1,1,0.942202432781759,0.498718048719504,0.815525968742036,0.883164283756153
"m2a","Surface Area cm2","fixed","linear",4950.21676179444,4932.52377394031,-3.95026923261637,-3.89476998733346,0.9774079428786,0.515669639192238,-0.0820008468675011,0.0712403808830341,0.951891207049708,0.0510250628520984,0.055214948349849,0.085572711900515,0.0399950076724356,0,0.961087052899026,0,0.624476688730906,0.18123325512211
"m2b","Surface Area cm2","fixed","smooth_mean",4830.40187688947,4793.31983033,-3.7550211260926,-3.69965319146303,0.976762174019565,0.41536625561558,1.33258724508861,0.0182610450058105,0.871888664414182,0.322520670247062,0.340506620430697,0.523110895651638,0,0.229328856371747,0.311376217694995,0.743670025630655,0,0.29689670103943
"m2c","Surface Area cm2","fixed","smooth_mean_var",4532.84054987642,4484.76609117778,-3.54221296876204,-3.50532653169169,0.991639881558469,0.233132180972601,-0.0658569826932632,-0.0171460840320032,0.933508893446386,0.996782413925547,0.9728724132847,1,0.921434997741132,0.645980124151746,0.969474193116594,0.759320713625122,0.480989670043102,0.885660313467479
"m2d","Surface Area cm2","fixed","shash_constant",4536.53117445276,4478.97129414135,-3.55397136360415,-3.52072033695734,0.986558534655867,0.229874842431309,-0.487882090813292,-0.0193028897730419,0.955192126200562,0.988419610240387,0.984748566308924,0.97365020939438,0.606727180056361,0.653427547118479,0.750221620192595,0.729045668569146,0.65024270807463,0.80662482103649
"m2e","Surface Area cm2","fixed","shash_full",4560.92676215549,4471.81045149245,-3.55149379463089,-3.52163275517961,0.988656169100523,0.219480500599861,-0.447861663199743,-0.0251352006804343,0.949214712099832,0.933140210636881,0.999424362984144,0.979202278748507,0.736641939082203,0.677192672879378,0.771013230821823,0.647177620769568,0.603584743942126,0.821710079183586
"m3a","Surface Area cm2","random","linear",4950.03358094233,4932.49001854742,-3.95070843014256,-3.89510691078357,0.977665170192554,0.513706077565891,-0.0798599162400453,0.0710394172886056,0.9523403976982,0.0514401431382017,0.0552841283761371,0.0845884990887341,0.0559261078659243,0.00448939333977016,0.962199319774835,0.00282092251525756,0.627982940901633,0.185326516767003
"m3b","Surface Area cm2","random","smooth_mean",4830.13459024978,4793.22690512542,-3.75544132083779,-3.70028932782842,0.976845032699233,0.403069841723302,1.3284962903141,0.0181151198773976,0.872388420228512,0.323126330792917,0.340697066091247,0.522169266824051,0.0051317642260098,0.257442788672292,0.313501570767049,0.745718374145979,0.00390094921767947,0.301314747634283
"m3c","Surface Area cm2","random","smooth_mean_var",4531.42058323725,4484.526557247,-3.54366823366219,-3.50580733891389,0.991493193559559,0.223869971547089,-0.0384718172953233,-0.0216392538748349,0.93489234775654,1,0.97336332635699,0.996738846933655,0.91235003249425,0.66715679655587,0.983701469783129,0.696250165894491,0.491788513906748,0.883342836140273
"m3d","Surface Area cm2","random","shash_constant",4535.05728559842,4478.71573430331,-3.55601620322685,-3.52201632777754,0.986165334633589,0.236446001978065,-0.472458560671127,-0.0230301087953841,0.95666314127666,0.991759381839365,0.985272323694095,0.969067858095274,0.582374754745414,0.638403562381792,0.75823452890863,0.676726759319325,0.661725025930199,0.797627355236208
"m3e","Surface Area cm2","random","shash_full",4553.95838036597,4471.52957773924,-3.54405027444723,-3.51453281368139,0.987510656139092,0.223907053449968,-0.517466651766788,-0.0333082831949847,0.948906095890222,0.948930277522198,1,0.995882718625005,0.665695811779427,0.667072014267616,0.734851702661442,0.532452202218404,0.601175775147922,0.799869717704597
