"y_variable","model_name","model_type","site_effect_type","AIC","BIC","logLik","n_obs"
"band_power_B4","GAMLSS_M1_smooth_mean","gamlss","none",7802.76053720976,7848.82035897406,-3891.73727596657,877
"band_power_B4","GAMLSS_M2_smooth_mean_var","gamlss","none",7543.6820610829,7597.95448039094,-3760.47866482217,877
"band_power_B4","GAMLSS_M3_smooth_mean_var_skew","gamlss","none",7335.82274090782,7445.12159397035,-3645.02878005112,877
"band_power_B4","GAMLSS_M4_full_LSSK","gamlss","none",7285.66050337024,7384.19814034268,-3622.20060807111,877
"band_power_B4","GAMLSS_M1_smooth_mean_fixed_site","gamlss","fixed",7804.34002448201,7855.26907621997,-3891.50760730382,877
"band_power_B4","GAMLSS_M2_smooth_mean_var_fixed_site","gamlss","fixed",7369.5193021147,7436.78116489793,-3670.67784129749,877
"band_power_B4","GAMLSS_M3_smooth_mean_var_skew_fixed_site","gamlss","fixed",7255.32704989117,7365.57466120344,-3604.58230440339,877
"band_power_B4","GAMLSS_M4_full_LSSK_fixed_site","gamlss","fixed",7224.95115939386,7342.28237076083,-3587.91135074168,877
"band_power_B5","GAMLSS_M1_smooth_mean","gamlss","none",8808.82812304878,8858.33663246358,-4394.0490585015,877
"band_power_B5","GAMLSS_M2_smooth_mean_var","gamlss","none",8026.29677850453,8102.3974308537,-3997.21610809562,877
"band_power_B5","GAMLSS_M3_smooth_mean_var_skew","gamlss","none",8023.81527059308,8122.63213698345,-3991.21953276718,877
"band_power_B5","GAMLSS_M4_full_LSSK","gamlss","none",7738.13190185306,7857.11052260063,-3844.15682362125,877
"band_power_B5","GAMLSS_M1_smooth_mean_fixed_site","gamlss","fixed",8810.60795005141,8865.01212714393,-4393.91402475882,877
"band_power_B5","GAMLSS_M2_smooth_mean_var_fixed_site","gamlss","fixed",7825.57223244069,7921.6195509808,-3892.67784071829,877
"band_power_B5","GAMLSS_M3_smooth_mean_var_skew_fixed_site","gamlss","fixed",7718.06837108432,7879.26857674055,-3825.28563122964,877
"band_power_B5","GAMLSS_M4_full_LSSK_fixed_site","gamlss","fixed",7679.67485824016,7810.54642977395,-3812.43841730187,877
"band_power_B6","GAMLSS_M1_smooth_mean","gamlss","none",8091.7858658809,8139.18348208711,-4035.96986231962,877
"band_power_B6","GAMLSS_M2_smooth_mean_var","gamlss","none",7228.5073863846,7289.71532768846,-3601.43932038774,877
"band_power_B6","GAMLSS_M4_full_LSSK","gamlss","none",6277.92305620739,6401.10219127273,-3113.1729894787,877
"band_power_B6","GAMLSS_M1_smooth_mean_fixed_site","gamlss","fixed",7963.13302959722,8019.25791871121,-3969.81631968665,877
"band_power_B6","GAMLSS_M2_smooth_mean_var_fixed_site","gamlss","fixed",6558.35052203337,6643.63878032275,-3261.31948096118,877
"band_power_B6","GAMLSS_M4_full_LSSK_fixed_site","gamlss","fixed",6117.28444256717,6273.56229399652,-3025.92420125788,877
