"Model","Y_feature","BIC","AIC"
"m1","Surface Area cm2",4957.72545392553,4940.0324660714
"m2","Surface Area cm2",4803.69245414076,4765.40732295345
"m3","Surface Area cm2",4508.2286665212,4459.33633912707
"m4","Surface Area cm2",4518.15656790165,4460.47403331453
"m1","Folding Power",7703.13902828503,7685.44604043089
"m2","Folding Power",7051.18182144371,7008.26292161905
"m3","Folding Power",6470.45181957883,6403.03159605146
"m4","Folding Power",6447.10029807166,6372.14560036889
"m1","B4 Vertex Percentage",2907.29836120096,2889.60537334682
"m2","B4 Vertex Percentage",2300.97723894424,2257.60541206897
"m3","B4 Vertex Percentage",2291.94609788117,2229.95394181267
"m4","B4 Vertex Percentage",2294.05092485023,2224.30003550728
"m1","B5 Vertex Percentage",2063.02414430519,2045.33115645105
"m2","B5 Vertex Percentage",2064.37712132511,2022.06765881518
"m3","B5 Vertex Percentage",2073.96908008878,2014.62957715145
"m4","B5 Vertex Percentage",2085.92344295097,2015.97295467393
"m1","B6 Vertex Percentage",1930.3375082981,1912.64452044397
"m2","B6 Vertex Percentage",1676.63457052334,1631.30292856775
"m3","B6 Vertex Percentage",1685.37697673729,1629.76132718708
"m4","B6 Vertex Percentage",1652.55524677985,1575.58228259334
"m1","Band_parcels B4",10546.2497787315,10528.5567908774
"m2","Band_parcels B4",10271.0518950431,10225.2193451102
"m3","Band_parcels B4",10231.6018579553,10157.1579561695
"m4","Band_parcels B4",10237.0370289054,10154.2456521315
"m1","Band Parcels B5",10511.9195336531,10494.226545799
"m2","Band Parcels B5",10384.5119801641,10340.8604552786
"m3","Band Parcels B5",10318.1835764134,10250.9311205978
"m4","Band Parcels B5",10330.3565818727,10254.6180779292
"m1","Band Parcels B6",10546.9614284913,10529.2684406372
"m2","Band Parcels B6",10110.8380760264,10064.1722165214
"m3","Band Parcels B6",10062.6292959141,9999.39869139885
"m4","Band Parcels B6",10046.8578741343,9973.4634625616
"m1","Hemispheric Volume",4028.98722977586,4011.29424192172
"m2","Hemispheric Volume",4035.55995619213,4007.66683674526
"m3","Hemispheric Volume",3853.28353986337,3801.16992207906
"m4","Hemispheric Volume",3855.02135562115,3795.89242487958
"m1","Gyrification Index",-2010.57542543546,-2028.26841328959
"m2","Gyrification Index",-2347.06712951018,-2388.00244293195
"m3","Gyrification Index",-2684.6165846382,-2749.7225368373
"m4","Gyrification Index",-2673.27236750057,-2746.89376968655
"m1","Hull Area",9947.57078408837,9929.87779623423
"m2","Hull Area",9955.01114491955,9926.4469266583
"m3","Hull Area",9797.6051169632,9749.7698281997
"m4","Hull Area",9801.49059647177,9749.58776948023
"m1","B4 Surface Area",8940.50246632914,8922.809478475
"m2","B4 Surface Area",8730.69206891171,8689.39569801071
"m3","B4 Surface Area",8558.29695389585,8493.68616011698
"m4","B4 Surface Area",8569.93373684569,8496.78967871919
"m1","B5 Surface Area",9278.70087271446,9261.00788486033
"m2","B5 Surface Area",9102.94683711258,9063.99694288033
"m3","B5 Surface Area",8822.84731845265,8763.45659918776
"m4","B5 Surface Area",8812.17945447255,8748.84476731374
"m1","B6 Surface Area",9036.10602283002,9018.41303497588
"m2","B6 Surface Area",8615.80505181129,8572.15764736463
"m3","B6 Surface Area",8359.62303364418,8304.88151235708
"m4","B6 Surface Area",8335.21876167938,8269.21868611843
"m1","B4 Surface Area Percentage",2947.43972868601,2929.74674083188
"m2","B4 Surface Area Percentage",2268.41583115133,2224.27739096342
"m3","B4 Surface Area Percentage",2264.25192916,2202.45935689057
"m4","B4 Surface Area Percentage",2266.0301013494,2196.97066791187
"m1","B5 Surface Area Percentage",2167.54668567449,2149.85369782036
"m2","B5 Surface Area Percentage",2165.35423273121,2127.14040330072
"m3","B5 Surface Area Percentage",2174.36616063431,2120.12644148231
"m4","B5 Surface Area Percentage",2186.72574451937,2122.10373796786
"m1","B6 Surface Area Percentage",2210.21986783287,2192.52687997874
"m2","B6 Surface Area Percentage",2047.4457200402,2003.86308542106
"m3","B6 Surface Area Percentage",2050.70650540608,1998.95667075514
"m4","B6 Surface Area Percentage",2011.14275666747,1935.03280255874
"m1","B4 Band Power",5778.93014761442,5761.23715976029
"m2","B4 Band Power",5543.32310434906,5500.09396351711
"m3","B4 Band Power",5183.63799818536,5104.56896193834
"m4","B4 Band Power",5162.13046864065,5080.73290250575
"m1","B5 Band Power",6954.15002792608,6936.45704007194
"m2","B5 Band Power",6221.57792580662,6177.80309106536
"m3","B5 Band Power",5542.10529663344,5458.9129861942
"m4","B5 Band Power",5473.34399891872,5393.65126048677
"m1","B6 Band Power",6398.41894897956,6380.72596112543
"m2","B6 Band Power",5664.26457606393,5617.93214393488
"m3","B6 Band Power",4603.8012125312,4516.96792106314
"m4","B6 Band Power",4387.63761137431,4314.14040331059
"m1","B4 Band Relative Power",-1742.53180371639,-1760.22479157053
"m2","B4 Band Relative Power",-2211.76943573042,-2254.84799234089
"m3","B4 Band Relative Power",-2279.07881007139,-2344.7526591142
"m4","B4 Band Relative Power",-2298.48989874341,-2371.54283631954
"m1","B5 Band Relative Power",-2245.81067185355,-2263.50365970769
"m2","B5 Band Relative Power",-2359.63433881769,-2401.62279401794
"m3","B5 Band Relative Power",-2408.41226646107,-2472.04525479857
"m4","B5 Band Relative Power",-2426.47014229147,-2499.12909430297
"m1","B6 Band Relative Power",-2552.22189336222,-2569.91488121635
"m2","B6 Band Relative Power",-2807.49706678364,-2848.41097590343
"m3","B6 Band Relative Power",-2960.12017028296,-3041.89600446823
"m4","B6 Band Relative Power",-3093.72469465991,-3165.78027743501
