"Model","Y_feature","BIC","AIC"
"m1","Surface Area cm2",4947.62378726309,4934.35404637249
"m2","Surface Area cm2",4811.16622333268,4778.85040267705
"m3","Surface Area cm2",4583.635082806,4539.79422802891
"m4","Surface Area cm2",4577.36187270988,4525.77953519732
"m1","Folding Power",7648.4117681231,7635.1420272325
"m2","Folding Power",7030.1179988751,6992.51334806834
"m3","Folding Power",6629.04465142686,6572.17864242014
"m4","Folding Power",6543.30618205947,6478.0800009687
"m1","B4 Vertex Percentage",2902.79046340472,2889.52072251412
"m2","B4 Vertex Percentage",2380.80453322093,2342.5798703198
"m3","B4 Vertex Percentage",2381.75608217307,2329.33716497713
"m4","B4 Vertex Percentage",2374.96543439177,2314.86061167091
"m1","B5 Vertex Percentage",2076.25318900372,2062.98344811312
"m2","B5 Vertex Percentage",2070.92182078538,2032.62927773121
"m3","B5 Vertex Percentage",2081.44391094479,2031.40761946827
"m4","B5 Vertex Percentage",2088.85916952175,2028.98853751011
"m1","B6 Vertex Percentage",2010.72049200301,1997.4507511124
"m2","B6 Vertex Percentage",1901.725435121,1866.09342847986
"m3","B6 Vertex Percentage",1897.36479703381,1858.23980838263
"m4","B6 Vertex Percentage",1834.02453647461,1780.25819735716
"m1","Band_parcels B4",10585.0375827072,10571.7678418166
"m2","Band_parcels B4",10359.2926493093,10318.8974983961
"m3","Band_parcels B4",10323.0148082476,10266.7267273074
"m4","Band_parcels B4",10325.8976743675,10261.2882175818
"m1","Band Parcels B5",10524.8342781752,10511.5645372846
"m2","Band Parcels B5",10417.8069585095,10381.1815659823
"m3","Band Parcels B5",10351.5868874887,10293.7434540944
"m4","Band Parcels B5",10363.1227174872,10296.33226879
"m1","Band Parcels B6",10547.5629831057,10534.2932422151
"m2","Band Parcels B6",10266.9949494918,10229.2242299463
"m3","Band Parcels B6",10253.4508672458,10208.6874307227
"m4","Band Parcels B6",10197.9024722108,10138.0965616806
"m1","Hemispheric Volume",4010.66131756697,3997.39157667637
"m2","Hemispheric Volume",4017.09988949659,3992.88176359574
"m3","Hemispheric Volume",3889.90897814311,3844.66787876049
"m4","Hemispheric Volume",3881.04624048074,3831.01996888412
"m1","Gyrification Index",-1993.15409185763,-2006.42383274823
"m2","Gyrification Index",-2303.65425774788,-2339.96229503192
"m3","Gyrification Index",-2667.77364613387,-2720.41419894726
"m4","Gyrification Index",-2656.33916805976,-2717.26792414716
"m1","Hull Area",9934.08851606832,9920.81877517771
"m2","Hull Area",9938.62281395205,9913.95668073452
"m3","Hull Area",9854.0599354022,9812.97596885648
"m4","Hull Area",9843.51902700661,9797.04620455114
"m1","B4 Surface Area",8983.60927506937,8970.33953417877
"m2","B4 Surface Area",8804.31203815054,8768.57038370411
"m3","B4 Surface Area",8689.63210963405,8633.66901275435
"m4","B4 Surface Area",8688.31138344354,8624.80687499924
"m1","B5 Surface Area",9246.83448223767,9233.56474134707
"m2","B5 Surface Area",9090.93137279526,9057.35204645813
"m3","B5 Surface Area",8882.82541460499,8831.20925665754
"m4","B5 Surface Area",8864.89072463217,8808.14579646083
"m1","B6 Surface Area",9000.46054158907,8987.19080069847
"m2","B6 Surface Area",8687.0750510853,8651.65511979215
"m3","B6 Surface Area",8527.67918721056,8482.39736197069
"m4","B6 Surface Area",8453.621728171,8400.80869616339
"m1","B4 Surface Area Percentage",2932.78941145629,2919.51967056569
"m2","B4 Surface Area Percentage",2307.49601273227,2268.49579365514
"m3","B4 Surface Area Percentage",2311.43493093894,2259.2298185316
"m4","B4 Surface Area Percentage",2307.30619288624,2247.74851413658
"m1","B5 Surface Area Percentage",2202.25490643131,2188.98516554071
"m2","B5 Surface Area Percentage",2186.10438991463,2149.96671209457
"m3","B5 Surface Area Percentage",2192.97950107617,2145.37888880309
"m4","B5 Surface Area Percentage",2198.60557275689,2140.30512979342
"m1","B6 Surface Area Percentage",2342.82517669282,2329.55543580222
"m2","B6 Surface Area Percentage",2292.02684401194,2260.34260220319
"m3","B6 Surface Area Percentage",2281.20199020731,2242.02465342862
"m4","B6 Surface Area Percentage",2215.133970281,2160.24092936139
"m1","B4 Band Power",5700.2187003685,5686.9489594779
"m2","B4 Band Power",5429.76446781196,5390.02063439737
"m3","B4 Band Power",5147.45939609903,5086.31242245129
"m4","B4 Band Power",5153.80527194986,5084.96407367485
"m1","B5 Band Power",6919.76102351982,6906.49128262922
"m2","B5 Band Power",6229.85613521354,6191.06458839159
"m3","B5 Band Power",5749.55670781206,5684.13772815648
"m4","B5 Band Power",5595.4807686733,5524.7949512679
"m1","B6 Band Power",6361.13407598811,6347.86433509751
"m2","B6 Band Power",5765.6658665524,5726.82531641973
"m3","B6 Band Power",5103.52447125344,5034.3739420204
"m4","B6 Band Power",4575.17796917256,4507.44502636583
"m1","B4 Band Relative Power",-1720.87811595395,-1734.14785684455
"m2","B4 Band Relative Power",-2102.79383244557,-2140.88000906473
"m3","B4 Band Relative Power",-2129.0176550986,-2187.06573523828
"m4","B4 Band Relative Power",-2195.01290581698,-2260.9939876053
"m1","B5 Band Relative Power",-2236.47521694503,-2249.74495783563
"m2","B5 Band Relative Power",-2353.68004400364,-2391.650426134
"m3","B5 Band Relative Power",-2346.07727968828,-2410.00743197457
"m4","B5 Band Relative Power",-2388.21675469888,-2452.78719945496
"m1","B6 Band Relative Power",-2381.3873658958,-2394.6571067864
"m2","B6 Band Relative Power",-2470.69198512395,-2499.26816356406
"m3","B6 Band Relative Power",-2496.55930175199,-2548.97363778176
"m4","B6 Band Relative Power",-2830.73075264085,-2894.56096572778
