"Family","BIC","AIC"
"BCCG",2975.76163818516,2924.86214947255
"ZIBNB",3115.47476513821,2980.79368189064
"LNO",2970.67920535998,2931.77368222421
"NOF",3011.952381891,2981.14539128844
"BCPE",2968.36774337977,2911.44885775547
"NET",2954.53591145154,2922.3071492232
"ZIBNB",3115.47476513821,2980.79368189064
"BNB",3109.7317619504,2978.79368189064
"BCT",2966.28943828886,2909.05255371474
"GB2",2965.91698219033,2919.29626008841
"GG",2976.3051717784,2933.74916170626
"GT",2959.13832969636,2920.06298945236
"JSU",2965.61401844011,2908.2358806189
"SEP1",2971.26930387061,2912.28366670454
"SEP2",2972.15422789058,2913.25797510395
"SEP3",2988.22358841054,2958.4279826867
"SEP4",2970.03840125839,2912.23117560665
"SHASH",2967.19832008597,2926.35728392053
"SHASHo",2970.80937093133,2913.14732575861
"ST1",2957.85597389148,2918.29211184209
"ST2",2958.64378976032,2918.92921764012
"ST3",2981.48088492846,2950.57511210493
"ST4",2957.18196332593,2917.82679052716
"ST5",2957.84163694971,2918.31380089153
"TF",2955.00856828391,2918.90409609782
"PE",2969.26337603968,2929.39195758309
"PE2",2970.31414338616,2929.94186656513
